OrderID;OrderDate;PropertyID;ProductID;Quantity;ProductName;ProductCategory;Price;Sales;City;;;
1;01/01/2015;17;41;1;Office Chair;Furnishings;85;85;Las Vegas;;Quantity;Count
2;01/01/2015;15;54;2;Chest of Drawers;Furnishings;150;300;Chicago;;3;5000
3;01/01/2015;5;71;2;Hammer;Maintenance;17;34;Kansas City;;;
4;01/01/2015;19;3;2;Washcloth;Housekeeping;3;6;Los Angeles;;;
5;01/01/2015;12;45;3;Computer Desk;Furnishings;102;306;Dallas;;;
6;01/01/2015;6;94;2;Monitor;Public Areas;70;140;Orlando;;;
7;01/01/2015;5;35;2;Tissue Box;Furnishings;25;50;Kansas City;;;
8;02/01/2015;16;93;1;Terminal;Public Areas;85;85;Denver;;;
9;02/01/2015;4;93;3;Terminal;Public Areas;85;255;Seattle;;;
10;02/01/2015;2;61;2;Tape Measure;Maintenance;8;16;Cincinnati;;;
11;02/01/2015;2;24;1;Envelopes (Letter);Office Supplies;24;24;Cincinnati;;;
12;02/01/2015;8;23;1;Printer Toner;Office Supplies;85;85;Philadelphia;;;
13;02/01/2015;12;24;2;Envelopes (Letter);Office Supplies;24;48;Dallas;;;
14;03/01/2015;4;94;3;Monitor;Public Areas;70;210;Seattle;;;
15;03/01/2015;16;20;2;Pens;Office Supplies;30;60;Denver;;;
16;03/01/2015;2;94;3;Monitor;Public Areas;70;210;Cincinnati;;;
17;03/01/2015;19;84;1;Tall Chair;Public Areas;75;75;Los Angeles;;;
18;03/01/2015;9;89;2;Photograph;Public Areas;45;90;Richmond;;;
19;03/01/2015;20;21;3;Printer Paper;Office Supplies;50;150;San Francisco;;;
20;03/01/2015;1;6;1;Conditioner;Housekeeping;40;40;New York;;;
21;03/01/2015;8;57;3;Wireless Router;Furnishings;70;210;Philadelphia;;;
22;03/01/2015;4;70;2;Door Lock;Maintenance;117;234;Seattle;;;
23;04/01/2015;17;24;1;Envelopes (Letter);Office Supplies;24;24;Las Vegas;;;
24;04/01/2015;14;23;2;Printer Toner;Office Supplies;85;170;Nashville;;;
25;04/01/2015;12;52;1;Ironing Board;Furnishings;18;18;Dallas;;;
26;04/01/2015;17;84;2;Tall Chair;Public Areas;75;150;Las Vegas;;;
27;04/01/2015;10;74;1;Large Plant;Public Areas;35;35;Arlington;;;
28;05/01/2015;10;33;3;Towel Rack;Furnishings;10;30;Arlington;;;
29;05/01/2015;5;73;2;Mop;Maintenance;15;30;Kansas City;;;
30;05/01/2015;2;5;1;Moisturizer;Housekeeping;40;40;Cincinnati;;;
31;05/01/2015;11;79;2;Coffee Table;Public Areas;103;206;Atlanta;;;
32;06/01/2015;20;44;1;Floor Lamp;Furnishings;55;55;San Francisco;;;
33;06/01/2015;9;64;1;Gaffer's Tape;Maintenance;27;27;Richmond;;;
34;06/01/2015;18;10;2;Toilet Paper;Housekeeping;19;38;Phoenix;;;
